rma_id,customer,model,sn,dealer,type_s,tr_date,quotation_date,confirm_date,repair_note,status,p_status,p_score,return_date
FMSV2023030060,Hoang Long Clinic,VP-7000,2V644K028,Trang Thi,Bộ Xử lý,2023-03-31,2023-04-14,,PO111,LP/waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023050025,Hoang Long Clinic,EG-760R,1G402K303,Trang Thi,Ống soi dạ dày,2023-05-17,2023-06-05,,PO110,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023060044,Hoang Long Clinic,EG-760R,1G402K304,Trang Thi,Ống soi dạ dày,2023-06-20,,,PO110,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023060047,Hoang Long Clinic,EG-760Z,1G403K110,Trang Thi,Ống soi dạ dày,2023-06-20,,,PO110,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023060048,Hoang Long Clinic,EC-760R-V/I,1C728K177,Trang Thi,Ống soi đại tràng,2023-06-20,,,PO110,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023060058,Hoang Long Clinic,BL-7000,2S101K411,Trang Thi,Bộ nguồn sáng,2023-06-22,,,PO110,LP/waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023070009,Hoan My Sai Gon Premier Hospital,ED-530XT,1D102K254,ETC,Ống soi mật tụy,2023-07-05,2023-07-05,2023-08-23,End: 26-Oct.Start: 26-Oct.PO111,Completed repair,Hoàn tất sửa chữa,7.0,
FMSV2023070039,Hanoi Medical University Hospital,VP-4450HD,2V567K687,Trang Thi,Bộ Xử lý,2023-07-21,,2023-07-26,End: 16-Oct.Start: 16-Oct.Part OK: 10-Oct. Approved: 27-Jul-23. Warranty Parts. ,LP/Completed repair,Hoàn tất sửa chữa,7.0,
FMSV2023070043,Vietnam – Cuba Donghoi Friendship Hospital,EG-760R,KG402K677,Promed,Ống soi dạ dày,2023-07-21,,2023-07-24,Start: 25-Oct.Part OK: 10-Oct. ,Under repair,Đang sửa chữa,6.0,
FMSV2023070079,Kon Tum Provincial General Hospital,EG-530WR,4G361K372,ETC,Ống soi dạ dày,2023-07-31,2023-07-31,2023-09-13,Start: 25-Oct.Start: 25-Oct.Part OK: 17-Oct. PO112,Under repair,Đang sửa chữa,6.0,
FMSV2023070080,Kon Tum Provincial General Hospital,EC-530WL3,2C643K264,ETC,Ống soi đại tràng,2023-07-31,2023-07-31,2023-09-13,End: 30-Oct.Start: 30-Oct.Start: .Part OK: 17-Oct. PO112,Completed repair,Hoàn tất sửa chữa,7.0,
FMSV2023070084,Thien Hanh Hospital,EC-720R/I,1C741K168,ETC,Ống soi đại tràng,2023-08-02,2023-08-07,2023-09-11,End: 01-Nov.Start: 01-Nov.PO112,Completed repair,Hoàn tất sửa chữa,7.0,
FMSV2023080002,Hanoi Medical University Hospital,VP-4450HD,3V567K036,Trang Thi,Bộ Xử lý,2023-10-10,,,Approved: 10-Aug-23 Warranty,LP/waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023080006,HOA BINH GENERAL HOSPITAL,EG-530FP,1G374K042,,Ống soi dạ dày,2023-08-09,,2023-08-15,End: 26-Oct.Part OK: 10-Oct. Approved: 18-Aug-23. Warranty Parts. ,Completed repair,Hoàn tất sửa chữa,7.0,
FMSV2023080008,Thai Binh city general hospital,EG-530WR,LG361K344,,Ống soi dạ dày,2023-08-08,,2023-08-10,Part OK: 10-Oct. Approved: 10-Aug-23. Warranty Parts. ,waiting for repair,,,
FMSV2023080014,Bach Mai Hospital,EG-600WR,7G391K123,Trang Thi,Ống soi dạ dày,2023-08-10,,,,waiting confirm,Chờ xác nhận,3.0,
