rma,CUSTOMER_NAME,customer,location,model_d,sn,install_date,warranty_date,receive_date,inspection_date,start_time,end_time,repair_size,issue_part,ks,wr_report,change_stt,Approval,repair_status,e_score,w_score,update_time,return_date
FMSV2023120016,Tay Nguyen Regional General Hospital,FMSV00316,HCM,EB-580S,5B089K352,2020-05-28 00:00:00,2021-05-28 00:00:00,2023-12-11 15:16:29,2023-12-11 15:20:22,2023-12-11 13:21:51,2023-12-11 14:44:03,Nhẹ,Other,Nguyễn Thái Nguyên,,Shipped,Approval,Đang giao hàng,7.0,0.0,2023-12-11 16:44:22.055000,2023-12-11 16:44:22.055000
FMSV2023120003,No. 91 Endoscopy-Gastrointestinal-Gi Scaning Test Clinic,FMSV00059,HCM,EG-760Z,2G403K151,2019-06-10 00:00:00,2020-06-10 00:00:00,2023-12-04 15:01:40,2023-12-08 11:26:21,2023-12-08 09:29:08,2023-12-11 17:04:48,Nặng,Other,Nguyễn Thái Nguyên,,Shipped,Approval,Đang giao hàng,7.0,0.0,2023-12-11 19:05:08.042000,2023-12-11 19:05:08.042000
FMSV2023080098,HCAP asset,FMSV00293,HCM,EC-600WI,1C692K655,,2019-08-21 00:00:00,2023-08-30 18:52:28,2023-08-30 18:52:39,2023-08-30 17:27:31,2023-09-06 08:23:30,Nặng,Other,Nguyễn Thái Nguyên,,QC,Approval,Đã sửa xong,7.0,0.0,2023-09-06 13:03:11.879000,
FMSV2023100030,Viet Nhat Clinic 3 - Dr.Giang'S Clinic,FMSV00313,Hanoi,EG-530UR2,RU039A048,2014-10-25 00:00:00,2015-10-25 00:00:00,2023-10-19 13:30:58,2023-10-31 18:12:07,2023-10-31 16:13:11,2023-11-02 17:21:34,Nhẹ,Other,Nguyễn Tuấn Minh,,QC,Approval,Đã sửa xong,7.0,0.0,2023-11-09 19:46:07.761000,
FMSV2023110040,Hoang Long Clinic,FMSV00046,Hanoi,EG-760Z,1G403K227,2017-05-24 00:00:00,2018-05-24 00:00:00,2023-11-20 17:26:44,2023-11-23 18:44:10,2023-11-23 16:45:06,2023-11-23 17:06:12,Nhẹ,Other,Nguyễn Tuấn Minh,,QC,Approval,Đã sửa xong,7.0,0.0,2023-11-24 17:08:47.226000,
FMSV2023110030,Bach Mai Hospital,FMSV00038,Hanoi,EG-600WR,8G391K433,2021-11-20 00:00:00,2022-11-20 00:00:00,2023-11-15 13:32:21,2023-11-21 13:03:25,2023-11-21 11:03:55,2023-11-23 18:09:13,Nhẹ,Other,Nguyễn Tuấn Minh,,QC,Approval,Đã sửa xong,7.0,0.0,2023-11-24 17:09:10.429000,
FMSV2023110041,Hoang Long Clinic,FMSV00046,Hanoi,EC-760ZP-V/M,1C730K119,2017-05-24 00:00:00,2018-05-24 00:00:00,2023-11-20 17:27:53,2023-11-24 20:12:22,2023-11-24 18:15:17,2023-11-27 08:53:36,Nhẹ,Other,Nguyễn Tuấn Minh,,QC,Approval,Đã sửa xong,7.0,0.0,2023-11-27 10:58:06.835000,
FMSV2023110034,Sai Gon-Nam Dinh General Hospital,FMSV00227,Hanoi,EG-530WR,LG361K425,2023-06-28 00:00:00,2024-06-28 00:00:00,2023-11-16 11:12:36,2023-11-16 11:30:15,2023-11-20 09:39:42,2023-11-21 11:07:46,Nhẹ,Other,Lê Văn Hoàn,,QC,Approval,Đã sửa xong,7.0,0.0,2023-11-27 10:58:14.394000,
FMSV2023110044,Hoang Long Clinic,FMSV00046,Hanoi,EC-760R-V/I,1C728K175,2017-01-09 00:00:00,2018-01-09 00:00:00,2023-11-20 17:32:51,2023-11-23 20:01:33,2023-11-23 18:06:06,2023-11-24 18:15:44,Nhẹ,Other,Nguyễn Tuấn Minh,,QC,Approval,Đã sửa xong,7.0,0.0,2023-11-27 10:58:42.762000,
FMSV2023110023,Bach Mai Hospital,FMSV00038,Hanoi,EC-600WI,6C692K197,2021-11-20 00:00:00,2022-11-20 00:00:00,2023-11-15 12:48:16,2023-11-23 19:57:59,2023-11-23 17:58:28,2023-11-27 08:54:29,Nhẹ,Other,Nguyễn Tuấn Minh,,QC,Approval,Đã sửa xong,7.0,0.0,2023-11-27 10:59:09.188000,
FMSV2023110037,Hai Duong Tuberculosis Hospital,FMSV00114,Hanoi,EB-530T,1B084K198,2016-05-13 00:00:00,2017-05-13 00:00:00,2023-11-17 11:17:21,2023-11-17 12:43:06,2023-11-17 10:43:57,2023-11-23 18:15:34,Nhẹ,Other,Nguyễn Tuấn Minh,,QC,Approval,Đã sửa xong,7.0,0.0,2023-11-27 10:59:29.677000,
FMSV2023110024,Bach Mai Hospital,FMSV00038,Hanoi,EC-590WL4,1C666K567,2019-08-25 00:00:00,2020-08-25 00:00:00,2023-11-15 13:23:52,2023-11-17 13:00:09,2023-11-17 11:07:18,2023-11-23 18:14:42,Nhẹ,Other,Nguyễn Tuấn Minh,,QC,Approval,Đã sửa xong,7.0,0.0,2023-11-27 10:59:53.439000,
