rma_id,customer,MODEL,sn,Territory,type_s,tr_date,quotation_date,confirm_date,repair_note,status,p_status,p_score,return_date
FMSV2024010017,Bach Mai Hospital,EG-600WR,KG391K539,,Ống soi dạ dày,2024-01-15,2024-01-15,2024-01-17,,Shipped,Đang giao hàng,7.0,2024-01-19
FMSV2023100030,Viet Nhat Clinic 3 - Dr.Giang'S Clinic,EG-530UR2,RU039A048,North,Ống soi siêu âm,2023-10-31,2023-10-31,2023-10-31,,QC,Đã sửa xong,7.0,
FMSV2023110040,Hoang Long Clinic,EG-760Z,1G403K227,North,Ống soi dạ dày,2023-11-23,2023-11-23,2023-11-23,,QC,Đã sửa xong,7.0,
FMSV2023110041,Hoang Long Clinic,EC-760ZP-V/M,1C730K119,North,Ống soi đại tràng,2023-11-24,2023-11-24,2023-11-27,,QC,Đã sửa xong,7.0,
FMSV2023110044,Hoang Long Clinic,EC-760R-V/I,1C728K175,North,Ống soi đại tràng,2023-11-23,2023-11-23,2023-11-24,,QC,Đã sửa xong,7.0,
FMSV2023110037,Hai Duong Tuberculosis Hospital,EB-530T,1B084K198,North,Ống soi khí phế quản,2023-11-17,2023-11-17,2023-11-17,,QC,Đã sửa xong,7.0,
FMSV2023110024,Bach Mai Hospital,EC-590WL4,1C666K567,,Ống soi đại tràng,2023-11-17,2023-11-17,2023-11-17,,QC,Đã sửa xong,7.0,
FMSV2023110043,Hoang Long Clinic,EC-760ZP-V/M,1C730K104,North,Ống soi đại tràng,2023-11-27,2023-11-27,2023-11-27,,QC,Đã sửa xong,7.0,
FMSV2023110042,Hoang Long Clinic,EC-760ZP-V/M,1C730K144,North,Ống soi đại tràng,2023-11-27,2023-11-27,2023-11-27,,QC,Đã sửa xong,7.0,
FMSV2023090080,Hanoi Medical University Hospital,XL-4450,2S094K543,North,Bộ nguồn sáng,2023-09-29,2023-10-07,2023-10-31,,QC,Đã sửa xong,7.0,
FMSV2023090246,Hanoi Medical University Hospital,XL-4450,3S094K980,North,Bộ nguồn sáng,2023-09-29,2023-10-07,2023-10-31,,QC,Đã sửa xong,7.0,
FMSV2023090290,Hanoi Medical University Hospital,XL-4450,3S094K526,North,Bộ nguồn sáng,2023-09-29,2023-10-07,2023-10-31,,QC,Đã sửa xong,7.0,
FMSV2023120011,Hanoi Medical University Hospital,EG-600WR,KG391K781,North,Ống soi dạ dày,2023-12-08,2023-12-08,2023-12-08,,QC,Đã sửa xong,7.0,
FMSV2023060047,Hoang Long Clinic,EG-760Z,1G403K110,North,Ống soi dạ dày,2023-06-20,2023-10-25,2023-10-31,,QC,Đã sửa xong,7.0,
