rma,r_code,r_description,vie_name
FMSV2022120042,R002,ANGL. Replace LR Lock Knob,Bộ phận điều khiển
FMSV2023020047,R002,ANGL. Replace LR Lock Knob,Bộ phận điều khiển
FMSV2023070009,R002,ANGL. Replace LR Lock Knob,Bộ phận điều khiển
FMSV2023070044,R002,ANGL. Replace LR Lock Knob,Bộ phận điều khiển
FMSV2023070079,R002,ANGL. Replace LR Lock Knob,Bộ phận điều khiển
FMSV2023080014,R002,ANGL. Replace LR Lock Knob,Bộ phận điều khiển
FMSV2023060066,R003,ANGL. Replace UD Knob,Bộ phận điều khiển
FMSV2023030043,R004,ANGL.Replace UD Lock Knob,Bộ phận điều khiển
FMSV2023050007,R005,ANGL. Repair Angle Knob Mechanism Section,Bộ phận điều khiển
FMSV2023080082,R005,ANGL. Repair Angle Knob Mechanism Section,Bộ phận điều khiển
FMSV2022060030,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2022110024,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2022120026,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023010027,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023020034,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023040065,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023060042,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023060048,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023070026,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023070037,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023070057,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023060049,R009,AWT. Cleaning Air-Water Tube Assembly,Kênh khí nước
FMSV2023080040,R009,AWT. Cleaning Air-Water Tube Assembly,Kênh khí nước
FMSV2022120014,R010,AWT. Replace Air-Water Tube Assembly with RBS,Kênh khí nước
FMSV2020110015,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2021030028,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2021030030,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2021030092,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2021030112,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2021040053,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2021100014,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2021110027,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2021110093,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2021110093,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2021110093,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2021110096,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2021110097,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2021120057,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2022040031,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2022040054,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2022050009,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2022050010,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2022050043,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2022050058,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
