MODEL,SERIAL_NO,STATUS,Year,RECIEVE_DATE,Warranty,RMA No.
EG-600WR,KG391K538,4A] Waiting for Parts,,2023-11-15 13:36:18,Yes,FMSV2023110032
EC-530WI,3C591A036,3] PARTS SELECTION,2013,2023-08-21 17:21:35,No,FMSV2023080076
ED-530XT,SD102A089,3] PARTS SELECTION,2013,2023-08-30 12:33:38,No,FMSV2023080097
EG-530WR,4G361A316,3] PARTS SELECTION,2013,2023-09-30 08:34:13,No,FMSV2023090232
EN-450T5,RC361A105,3] PARTS SELECTION,2013,2023-09-30 08:33:57,No,FMSV2023090230
VP-4450HD,3V567D030,3] PARTS SELECTION,2013,2023-09-28 18:27:18,No,FMSV2023090250
VP-4450HD,3V567D038,3] PARTS SELECTION,2013,2023-09-30 08:33:31,No,FMSV2023090227
XL-4450,3S094D030,3] PARTS SELECTION,2013,2023-09-28 18:27:08,No,FMSV2023090249
XL-4450,3S094D038,3] PARTS SELECTION,2013,2023-09-30 08:33:39,No,FMSV2023090228
EG-590WR,1G348K318,3] PARTS SELECTION,2014,2023-09-28 18:24:02,No,FMSV2023090233
EG-590WR,5G348A636,3] PARTS SELECTION,2014,2023-09-28 18:25:55,No,FMSV2023090242
EG-600WR,1G391K323,3] PARTS SELECTION,2014,2023-09-28 17:20:05,No,FMSV2023090197
EC-530WL3,1C643K192,3] PARTS SELECTION,2015,2023-08-21 17:23:22,No,FMSV2023080078
EC-590WI,1C607K008,3] PARTS SELECTION,2015,2023-08-07 13:45:46,No,FMSV2023080020
EC-590WI,1C607K025,2] INSPECTION,2015,2023-11-15 13:30:12,No,FMSV2023110028
EC-600WI,1C692K144,3] PARTS SELECTION,2015,2023-09-28 18:26:47,No,FMSV2023090247
EC-600WI,1C692K269,3] PARTS SELECTION,2015,2023-09-28 17:17:31,No,FMSV2023090189
EG-530WR,1G361K609,3] PARTS SELECTION,2015,2023-09-28 17:19:12,No,FMSV2023090194
EG-530WR,1G361K617,3] PARTS SELECTION,2015,2023-09-28 18:33:56,No,FMSV2023090287
EG-590WR,1G348K456,3] PARTS SELECTION,2015,2023-09-28 17:20:23,No,FMSV2023090198
EG-590WR,1G348K457,3] PARTS SELECTION,2015,2023-09-28 17:28:31,No,FMSV2023090199
EG-590WR,1G348K458,3] PARTS SELECTION,2015,2023-09-28 17:14:33,No,FMSV2023090181
EG-590WR,1G348K513,3] PARTS SELECTION,2015,2023-09-28 18:24:42,No,FMSV2023090235
EG-590WR,1G348K514,3] PARTS SELECTION,2015,2023-09-28 18:25:13,No,FMSV2023090238
EG-590WR,1G348K547,3] PARTS SELECTION,2015,2023-09-28 18:25:35,No,FMSV2023090240
EC-600WI,1C692K598,3] PARTS SELECTION,2016,2023-09-28 18:24:32,No,FMSV2023090234
EC-600WI,1C692K645,3] PARTS SELECTION,2016,2023-09-30 08:32:58,No,FMSV2023090223
EG-600WR,2G391K305,3] PARTS SELECTION,2016,2023-09-28 18:33:04,No,FMSV2023090282
EG-600WR,2G391K315,3] PARTS SELECTION,2016,2023-09-28 18:25:45,No,FMSV2023090241
EG-600WR,2G391K372,3] PARTS SELECTION,2016,2023-09-30 08:33:07,No,FMSV2023090225
EG-600WR,2G391K410,3] PARTS SELECTION,2016,2023-09-28 18:28:53,No,FMSV2023090259
EG-600WR,2G391K411,3] PARTS SELECTION,2016,2023-09-28 18:17:23,No,FMSV2023090222
EC-600WI,1C692K861,3] PARTS SELECTION,2018,2023-09-28 17:17:54,No,FMSV2023090190
EC-600WI,1C692K870,3] PARTS SELECTION,2018,2023-09-30 08:33:49,No,FMSV2023090229
EG-600WR,2G391K825,3] PARTS SELECTION,2018,2023-09-28 18:29:13,No,FMSV2023090261
